StadiumID,Active,Name,City,State,Country,Capacity,Surface,LeftField,MidLeftField,LeftCenterField,MidLeftCenterField,CenterField,MidRightCenterField,RightCenterField,MidRightField,RightField,GeoLat,GeoLong,Altitude,HomePlateDirection,Type
1,True,PETCO Park,San Diego,CA,USA,41164,Grass,334,351,367,402,396,403,378,351,322,32.7073,-117.1566,14,180,Outdoor
2,True,Turner Field,Atlanta,GA,USA,49586,Grass,335,360,380,394,401,394,390,358,330,33.734805,-84.389996,939,150,Outdoor
3,True,Salt River Fields at Talking Stick,,,,,,,,,,,,,,,,,,,
4,True,Cubs Park,,,,,,,,,,,,,,,,,,,
5,True,JetBlue Park,,,,,,,,,,,,,,,,,,,
6,True,Hammond Stadium,,,,,,,,,,,,,,,,,,,
7,True,Peoria Stadium,,,,,,,,,,,,,,,,,,,
8,True,Citi Field,New York,NY,USA,41922,Grass,335,371,384,394,408,415,378,372,330,40.756944,-73.845833,13,165,Outdoor
9,True,State Mutual Stadium,,,,,,,,,,,,,,,,,,,
10,True,Progressive Field,Cleveland,OH,USA,37675,Grass,325,369,368,385,405,388,375,364,325,41.495833,-81.685278,673,180,Outdoor
11,True,NL City,,,,,,,,,,,,,,,,,,,
12,True,TBD,,,,,,,,,,,,,,,,,,,
13,True,Oracle Park,San Francisco,CA,USA,41915,Grass,339,346,382,389,399,399,421,368,309,37.778611,-122.389167,8,90,Outdoor
14,True,Target Field,Minneapolis,MN,USA,39021,Grass,339,355,377,390,404,392,367,344,328,44.981667,-93.278333,840,105,Outdoor
15,True,McKechnie Field,,,,,,,,,,,,,,,,,,,
16,True,Louisville Slugger Field,,,,,,,,,,,,,,,,,,,
17,True,Champion Stadium,,,,,,,,,,,,,,,,,,,
18,True,Tropicana Field,St. Petersburg,FL,USA,31042,AstroTurf,315,354,370,410,404,404,370,342,322,27.768333,-82.653333,41,135,Dome
19,True,Miller Park,Milwaukee,WI,USA,41900,Grass,344,359,370,379,400,386,374,354,345,43.028333,-87.971111,602,45,RetractableDome
20,True,AutoZone Park,,,,,,,,,,,,,,,,,,,
21,True,Globe Life Park in Arlington,Arlington,TX,USA,48114,Grass,354,357,390,406,400,407,379,356,349,32.751389,-97.082778,549,45,Outdoor
